,users,authors,views,likes,reposts,count_cmts,playlists,time_posts
0,L2Share♫55,JENNIE – SOLO,"18,162,415 plays
18.1M","View all likes
254K","View all reposts
5,821","4,449 comments",Top 50: All music genres,12 November 2018
1,Ali Mustofa,Smvll Adek Berjilbab Ungu,"4,256,402 plays
4.25M","View all likes
62.7K","View all reposts
1,426",646 comments,Top 50: All music genres,21 November 2018
2,Tri Suprastomo Nitihardjo,Virzha - Tentang Rindu,"18,059,628 plays
18M","View all likes
248K","View all reposts
4,698","3,013 comments",Top 50: All music genres,14 May 2018
3,DROPS VISUAL,Guyon Waton - Korban Janji (New single),"13,475,259 plays
13.4M","View all likes
159K","View all reposts
2,830","1,666 comments",Top 50: All music genres,26 April 2018
4,DJ JackRMX,Dj Enak Susunya Mama Remix Tik Tok 2018 $REMIX JACKRMX$,"2,112,423 plays
2.11M","View all likes
41.8K","View all reposts
1,343",335 comments,Top 50: All music genres,12 November 2018
5,Fdj Mboll V.2,Enak Susunya Mama Mama :D From Mboll Richardo :*,"1,567,319 plays
1.56M","View all likes
23.7K","View all reposts
540",203 comments,Top 50: All music genres,2 August 2018
6,Lil Baby,Drip Too Hard,"173,937,819 plays
173M","View all likes
1.83M","View all reposts
50K","51,900 comments",All music genres,5 October 2018
7,Ynw Melly,YNW MELLY - MURDER ON MY MIND Prod By; SMKEXCLSV,"159,986,077 plays
159M","View all likes
1.72M","View all reposts
48K","58,771 comments",All music genres,4 March 2017
8,Kodak Black,Calling My Spirit,"79,053,481 plays
79M","View all likes
825K","View all reposts
22.2K","16,954 comments",All music genres,30 November 2018
9,A BOOGIE WIT DA HOODIE,Look Back At It,"71,047,664 plays
71M","View all likes
868K","View all reposts
21.8K","20,338 comments",All music genres,7 December 2018
10,MEEK MILL,Going Bad (feat. Drake),"61,780,278 plays
61.7M","View all likes
695K","View all reposts
20.1K","13,976 comments",All music genres,30 November 2018
11,Flipp Dinero,Leave Me Alone (Prod. by Young Forever x Cast Beats),"118,078,360 plays
118M","View all likes
1.39M","View all reposts
36.8K","27,511 comments",All music genres,8 March 2018
12,ClickMaza,De Ijazat OST - PAKISTANI - ClickMaza.com,"138,879 plays
138K","View all likes
3,183","View all reposts
98",1 comment,ALL MUSIC GENRES,26 February 2018
13,BTS,4. Base Line,"7,908,612 plays
7.9M","View all likes
240K","View all reposts
17.7K","2,124 comments",ALL MUSIC GENRES,1 March 2018
14,BTS,1. Hope World,"9,978,409 plays
9.97M","View all likes
330K","View all reposts
22.5K","5,653 comments",ALL MUSIC GENRES,1 March 2018
15,Roke Rahat[Ravenant Music Studio]cover3.2🎧,Naam Hai Mera | Hate Story IV | Urvashi Rautela,"765,301 plays
765K","View all likes
13.4K","View all reposts
325",22 comments,ALL MUSIC GENRES,23 February 2018
16,Roke Rahat[Ravenant Music Studio]cover3.2🎧,"Talli Tonight VEEREY KI WEDDING Meet Bros, Deep Money, Neha Kakar","102,239 plays
102K","View all likes
2,163","View all reposts
61",0,ALL MUSIC GENRES,27 February 2018
17,BTS,7. Blue Side (Outro),"7,783,142 plays
7.78M","View all likes
228K","View all reposts
18.6K","2,866 comments",ALL MUSIC GENRES,1 March 2018
18,Ultrah_hAXXOR,「Nightcore」→ Viva La Vida - Sofia Karlberg,"379,258 plays
379K","View all likes
4,120","View all reposts
87",47 comments,All music genres,23 October 2017
19,Cherry 葵,Nightcore - The Devil Inside,"114,629 plays
114K","View all likes
1,819","View all reposts
75",16 comments,All music genres,23 October 2017
20,~Secret-Nightcore~*,Far Out - Wrong feat. Emilia Ali (Edited),"59,764 plays
59.7K","View all likes
780","View all reposts
19",2 comments,All music genres,23 October 2017
21,Moonlight✰,Nightcore - One For The Money,"92,141 plays
92.1K","View all likes
1,134","View all reposts
29",9 comments,All music genres,23 October 2017
